id,slug,recipe,topic,viewer,support,property
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,e
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,e
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,e
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,e
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,n
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,n
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,n
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,n
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,t
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,t
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,t
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,t
8,0008-rights,Rights statement,property,UV,Yes,r
8,0008-rights,Rights statement,property,Mirador,Yes,r
8,0008-rights,Rights statement,property,Annona,Yes,r
8,0008-rights,Rights statement,property,Clover,Yes,r
8,0008-rights,Rights statement,property,UV,Yes,i
8,0008-rights,Rights statement,property,Mirador,Yes,i
8,0008-rights,Rights statement,property,Annona,Yes,i
8,0008-rights,Rights statement,property,Clover,Yes,i
8,0008-rights,Rights statement,property,UV,Yes,g
8,0008-rights,Rights statement,property,Mirador,Yes,g
8,0008-rights,Rights statement,property,Annona,Yes,g
8,0008-rights,Rights statement,property,Clover,Yes,g
8,0008-rights,Rights statement,property,UV,Yes,h
8,0008-rights,Rights statement,property,Mirador,Yes,h
8,0008-rights,Rights statement,property,Annona,Yes,h
8,0008-rights,Rights statement,property,Clover,Yes,h
8,0008-rights,Rights statement,property,UV,Yes,t
8,0008-rights,Rights statement,property,Mirador,Yes,t
8,0008-rights,Rights statement,property,Annona,Yes,t
8,0008-rights,Rights statement,property,Clover,Yes,t
8,0008-rights,Rights statement,property,UV,Yes,s
8,0008-rights,Rights statement,property,Mirador,Yes,s
8,0008-rights,Rights statement,property,Annona,Yes,s
8,0008-rights,Rights statement,property,Clover,Yes,s
8,0008-rights,Rights statement,property,UV,Yes,","
8,0008-rights,Rights statement,property,Mirador,Yes,","
8,0008-rights,Rights statement,property,Annona,Yes,","
8,0008-rights,Rights statement,property,Clover,Yes,","
8,0008-rights,Rights statement,property,UV,Yes, 
8,0008-rights,Rights statement,property,Mirador,Yes, 
8,0008-rights,Rights statement,property,Annona,Yes, 
8,0008-rights,Rights statement,property,Clover,Yes, 
8,0008-rights,Rights statement,property,UV,Yes,r
8,0008-rights,Rights statement,property,Mirador,Yes,r
8,0008-rights,Rights statement,property,Annona,Yes,r
8,0008-rights,Rights statement,property,Clover,Yes,r
8,0008-rights,Rights statement,property,UV,Yes,e
8,0008-rights,Rights statement,property,Mirador,Yes,e
8,0008-rights,Rights statement,property,Annona,Yes,e
8,0008-rights,Rights statement,property,Clover,Yes,e
8,0008-rights,Rights statement,property,UV,Yes,q
8,0008-rights,Rights statement,property,Mirador,Yes,q
8,0008-rights,Rights statement,property,Annona,Yes,q
8,0008-rights,Rights statement,property,Clover,Yes,q
8,0008-rights,Rights statement,property,UV,Yes,u
8,0008-rights,Rights statement,property,Mirador,Yes,u
8,0008-rights,Rights statement,property,Annona,Yes,u
8,0008-rights,Rights statement,property,Clover,Yes,u
8,0008-rights,Rights statement,property,UV,Yes,i
8,0008-rights,Rights statement,property,Mirador,Yes,i
8,0008-rights,Rights statement,property,Annona,Yes,i
8,0008-rights,Rights statement,property,Clover,Yes,i
8,0008-rights,Rights statement,property,UV,Yes,r
8,0008-rights,Rights statement,property,Mirador,Yes,r
8,0008-rights,Rights statement,property,Annona,Yes,r
8,0008-rights,Rights statement,property,Clover,Yes,r
8,0008-rights,Rights statement,property,UV,Yes,e
8,0008-rights,Rights statement,property,Mirador,Yes,e
8,0008-rights,Rights statement,property,Annona,Yes,e
8,0008-rights,Rights statement,property,Clover,Yes,e
8,0008-rights,Rights statement,property,UV,Yes,d
8,0008-rights,Rights statement,property,Mirador,Yes,d
8,0008-rights,Rights statement,property,Annona,Yes,d
8,0008-rights,Rights statement,property,Clover,Yes,d
8,0008-rights,Rights statement,property,UV,Yes,S
8,0008-rights,Rights statement,property,Mirador,Yes,S
8,0008-rights,Rights statement,property,Annona,Yes,S
8,0008-rights,Rights statement,property,Clover,Yes,S
8,0008-rights,Rights statement,property,UV,Yes,t
8,0008-rights,Rights statement,property,Mirador,Yes,t
8,0008-rights,Rights statement,property,Annona,Yes,t
8,0008-rights,Rights statement,property,Clover,Yes,t
8,0008-rights,Rights statement,property,UV,Yes,a
8,0008-rights,Rights statement,property,Mirador,Yes,a
8,0008-rights,Rights statement,property,Annona,Yes,a
8,0008-rights,Rights statement,property,Clover,Yes,a
8,0008-rights,Rights statement,property,UV,Yes,t
8,0008-rights,Rights statement,property,Mirador,Yes,t
8,0008-rights,Rights statement,property,Annona,Yes,t
